Date,Close,Adj Close
2016-02-01,0.15,0.15
2016-02-02,0.15,0.15
2016-02-03,0.15,0.15
2016-02-04,0.14,0.14
2016-02-05,0.15,0.15
2016-02-08,0.15,0.15
2016-02-09,0.13,0.13
2016-02-10,0.13,0.13
2016-02-11,0.13,0.13
2016-02-12,0.14,0.14
2016-02-15,0.13,0.13
2016-02-16,0.12,0.12
2016-02-17,0.12,0.12
2016-02-18,0.13,0.13
2016-02-19,0.18,0.18
2016-02-22,0.14,0.14
2016-02-23,0.14,0.14
2016-02-24,0.15,0.15
2016-02-25,0.15,0.15
2016-02-26,0.14,0.14
2016-02-29,0.14,0.14
2016-03-01,0.15,0.15
2016-03-02,0.15,0.15
2016-03-03,0.15,0.15
2016-03-04,0.15,0.15
